key,value
Measurements,5.09-5.11x3.17mm
CaratWeight,0.50carat
ColorGrade,H
ClarityGrade,IF
CutGrade,Excellent
Depth,62.2%
Table,60%
CrownAngle,34.0°
CrownHeight,13.5%
PavilionAngle,41.8°
PavilionDepth,44.5%
StarLength,45%
LowerHalf,80%
Girdle,"MediumtoSlightlyThick,Faceted,4.0%"
Culet,None
,
Polish,Excellent
Symmetry,Excellent
Fluorescence,None
ClarityCharacteristics,MinorDetailsOfPolish
Inscription(s),
key,value
Measurements,5.09-5.11x3.17mm
CaratWeight,0.50carat
ColorGrade,H
ClarityGrade,IF
CutGrade,Excellent
Depth,62.2%
Table,60%
CrownAngle,34.0°
CrownHeight,13.5%
PavilionAngle,41.8°
PavilionDepth,44.5%
StarLength,45%
LowerHalf,80%
Girdle,"MediumtoSlightlyThick,Faceted,4.0%"
Culet,None
,
Polish,Excellent
Symmetry,Excellent
Fluorescence,None
ClarityCharacteristics,MinorDetailsOfPolish
Inscription(s),
key,value
Measurements,5.09-5.11x3.17mm
CaratWeight,0.50carat
ColorGrade,H
ClarityGrade,IF
CutGrade,Excellent
Depth,62.2%
Table,60%
CrownAngle,34.0°
CrownHeight,13.5%
PavilionAngle,41.8°
PavilionDepth,44.5%
StarLength,45%
LowerHalf,80%
Girdle,"MediumtoSlightlyThick,Faceted,4.0%"
Culet,None
,
Polish,Excellent
Symmetry,Excellent
Fluorescence,None
ClarityCharacteristics,MinorDetailsOfPolish
Inscription(s),
key,value
Measurements,5.09-5.11x3.17mm
CaratWeight,0.50carat
ColorGrade,H
ClarityGrade,IF
CutGrade,Excellent
Depth,62.2%
Table,60%
CrownAngle,34.0°
CrownHeight,13.5%
PavilionAngle,41.8°
PavilionDepth,44.5%
StarLength,45%
LowerHalf,80%
Girdle,"MediumtoSlightlyThick,Faceted,4.0%"
Culet,None
,
Polish,Excellent
Symmetry,Excellent
Fluorescence,None
ClarityCharacteristics,MinorDetailsOfPolish
Inscription(s),
