肖申克的救赎,美国,2449187,希望让人自由。
霸王别姬,中国大陆 中国香港,1820879,风华绝代。
阿甘正传,美国,1841260,一部美国近现代史。
这个杀手不太冷,法国 美国,2006353,怪蜀黍和小萝莉不得不说的故事。
泰坦尼克号,美国 墨西哥 澳大利亚 加拿大,1803145,失去的才是永恒的。 
美丽人生,意大利,1128413,最美的谎言。
千与千寻,日本,1922041,最好的宫崎骏，最好的久石让。 
辛德勒的名单,美国,940048,拯救一个人，就是拯救整个世界。
盗梦空间,美国 英国,1770241,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,美国 英国,1217273,永远都不能忘记你所爱的人。
星际穿越,美国 英国 加拿大,1444448,爱是一种力量，让我们超越时空感知它的存在。
楚门的世界,美国,1367230,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,意大利,1439004,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,印度,1612967,英俊版憨豆，高情商版谢耳朵。
机器人总动员,美国,1135632,小瓦力，大人生。
放牛班的春天,法国 瑞士 德国,1120526,天籁一般的童声，是最接近上帝的存在。 
无间道,中国香港,1106691,香港电影史上永不过时的杰作。
疯狂动物城,美国,1598787,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
大话西游之大圣娶亲,中国香港 中国大陆,1311007,一生所爱。
熔炉,韩国,794970,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,美国,799566,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,美国,1299696,平民励志片。 
龙猫,日本,1086279,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,美国,1550317,真正的幸福是来自内心深处。
控方证人,美国,395198,比利·怀德满分作品。
