股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH601012,隆基股份,96.7,-4.59,-4.53%,4.88%,67463131,6626517359.28,1.74%,40.681,0.44%,373880376386
SH601919,中远海控,20.31,-0.93,-4.38%,66.34%,276346351,5681781342.95,3.19%,9.925,0,248991038600
SH600519,贵州茅台,2222.22,+0.22,0.01%,11.22%,2345031,5242453018.5,0.19%,58.698,0.868%,2791547875116
SH600111,北方稀土,22.69,+0.81,3.7%,73.34%,206963131,4708016077.48,5.7%,56.356,0.309%,82434267540
SH600392,盛和资源,18.77,+1.71,10.02%,111.14%,250350217,4602109861.09,14.26%,52.861,0.266%,32944485848
SH600438,通威股份,35.98,-2.43,-6.33%,-5.83%,114075448,4157996697.45,2.66%,39.4,0.67%,161965703660
SH600702,舍得酒业,219.93,+5.16,2.4%,157.41%,17815044,3971743008.17,5.37%,86.339,0.205%,73935869463
SH600031,三一重工,30.85,-0.27,-0.87%,-11.81%,114039125,3522594219.91,1.34%,13.984,1.945%,261769079912
SH600276,恒瑞医药,82.58,-1.78,-2.11%,-25.91%,41410338,3441142200.09,0.78%,67.632,0.242%,440253083066
SH600559,老白干酒,28.99,+0.23,0.8%,-7.91%,115840945,3402171897.07,12.91%,85.846,0.517%,26012363002
SH600704,物产中大,7.95,-0.14,-1.73%,81.92%,418719505,3333991064.47,8.27%,13.148,2.516%,40244347218
SH600196,复星医药,65,-2.42,-3.59%,20.39%,48281252,3224023302.55,2.4%,42.359,0.662%,166588405425
SH601377,兴业证券,9.93,-0.16,-1.59%,14.4%,304602756,3060382245.59,4.55%,13.496,1.813%,66497949723
SH601899,紫金矿业,11,-0.18,-1.61%,18.41%,264730027,2946459114.17,1.34%,35.23,1.087%,281115930557
SH601318,中国平安,70.68,-0.19,-0.27%,-17.2%,40951584,2905789644.4,0.38%,8.956,3.113%,1292047462859
SH600893,航发动力,50.3,-1.8,-3.45%,-15.25%,56018661,2859246409.43,2.66%,122.54,0.258%,134079390171
SH600809,山西汾酒,471.81,+17.31,3.81%,25.72%,5944136,2808734195.96,0.68%,101.946,0.042%,411195751181
SH600036,招商银行,56.28,-1.3,-2.26%,28.05%,49067257,2798317525,0.24%,13.975,2.226%,1419372910424
SH600779,水井坊,133.8,+7.05,5.56%,61.17%,20252605,2720468499.12,4.15%,68.089,0.897%,65352683012
SH601127,小康股份,57,-3.44,-5.69%,233.72%,45854971,2692151221.08,4.76%,,0,73597162131
SH600744,华银电力,9.76,-0.2,-2.01%,214.84%,275951340,2686642935,33.34%,,0,17383772914
SH601166,兴业银行,22.1,-0.26,-1.16%,5.89%,119465213,2667713318.87,0.61%,6.606,3.629%,459109615597
SH600436,片仔癀,401.77,+17.91,4.67%,50.19%,6636010,2634739407.04,1.1%,137.023,0.224%,242394755462
SH601995,中金公司,58.41,+1.49,2.62%,-22.4%,43970760,2595399735.69,13.7%,36.119,0.308%,281960073660
SH600906,财达证券,15.1,-0.8,-5.03%,301.6%,158983914,2503123315.96,31.8%,90.648,,48999500000
SH603799,华友钴业,100.89,-1.06,-1.04%,27.51%,23839200,2404196681.99,2.09%,74.82,0.198%,122369923201
SH600010,包钢股份,1.67,+0.07,4.38%,42.74%,1369875868,2267961591.38,4.32%,51.992,0,76127004522
SH600733,北汽蓝谷,16.52,-0.72,-4.18%,90.54%,131279850,2222166090.7,7.19%,,0,70826363348
SH600309,万华化学,112.98,-3.31,-2.85%,25.56%,19302785,2209339955.68,1.36%,23.207,1.151%,354728573805
SH600963,岳阳林纸,9.24,-0.35,-3.65%,122.44%,231834896,2208862797.67,12.84%,33.759,0.768%,16678690727
